#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Jefe de piso en hotel, Jefe encargado de piso en hotel 
Jefe de departamento de audio, Jefe encargado de departamento de audio 
Jefe de producción de televisora, Jefe encargado de producción en televisora 
Jefe de departamento de proyectos culturales, Jefe encargado del departamento de proyectos culturales 
Jefe de biblioteca, Jefe encargado de biblioteca 
Jefe de cuadrilla de limpieza, Jefe encargado de cuadrilla de limpieza 
Jefe de departamento de lavado, Jefe encargado de departamento de lavado 
Jefe de departamento de masajes, Jefe encargado de departamento de masajes 
Jefe de estética de depilación, Jefe encargado de estética de depilación 
Jefe de intendencia, Jefe encargado de intendencia
Jefe de velatorio, Jefe encargado de velatorio 
Jefe de área, Jefe encargado de área 
Jefe de laboratorio, Jefe encargado de laboratorio 
Jefe de piso, Jefe encargado de piso

Ajustador de seguros, Ajustador encargado de seguros
Ajustador de siniestros, Ajustador encargado de siniestros

Encargado de contabilidad, Encargado con especialidad en contabilidad 
Encargado de banco de sangre, Encargado de banco de distribución de sangre 
Encargado de clínica dental, Encargado de clínica especializada en servicios dentales 
Encargado de centro de salud, Encargado de centro médico 
Encargado de vigilancia sanitaria, Encargado de mantenimiento sanitario 
Encargado de proyectos de danza, Encargado de proyectos dancísticos
Encargado de proyectos de mercado, Encargado de proyectos mercadotécnicos
Encargado de taller mecánico, Encargado de taller de servicios mecánicos 
Encargado de electricistas, Encargado de personal electricista 
Encargado de equipo de comunicación, Encargado de equipo comunicativo 
Encargado de radar, Encargado de equipo de radar 
Encargado del departamento electrónica, Encargado del área de electrónica 
Encargado cyber renta de computadoras, Encargado de establecimiento de renta de computadoras
Encargado de cuentas por cobrar, Encargado de cobranza
Encargado de remates, Encargado de ofertas
Encargado de apoyo comunitario, Encargado de apoyo a la comunidad
Encargado de salas de juego, Encargado de salas recreativas 

Supervisor regional de seguridad privada, Supervisor regional especializado en seguridad privada
Supervisor de seguros, Supervisor especialista en seguros 
Supervisor de mantenimiento industrial, Supervisor especialista en mantenimiento industrial
Supervisor de mantenimiento mecánico, Supervisor encargado de mantenimiento mecánico 
Supervisor electricistas, Supervisor a cargo de electricistas 
Supervisor electricistas automotrices, Supervisor a cargo de electricistas automotrices 
Supervisor instalaciones eléctricas, Supervisor encargado de instalaciones eléctricas 
Supervisor personal instalación de redes comunicación, Supervisor encargado de personal en instalación de redes de comunicación 
Supervisor recuperación energía, Supervisor encargado de recuperación de energía 
Supervisor redes de distribución eléctrica, Supervisor encargado de redes de distribución eléctrica 
Supervisor redes telefónicas, Supervisor encargado de redes telefónicas 
Supervisor de seguridad industrial, Supervisor encargado de seguridad industrial 
Supervisor de seguridad laboral, Supervisor encargado de seguridad laboral
Supervisor de almacén, Supervisor encargado de almacén 
Supervisor de cobranza, Supervisor encargado de cobranza 
Supervisor de compras, Supervisor encargado de compras 
Supervisor de embarque, Supervisor encargado de embarque 
Supervisor de archivo, Supervisor encargado de archivo 
Supervisor de cajas, Supervisor encargado de cajas 
Supervisor de capturistas, Supervisor a cargo de capturistas 
Supervisor de mensajería, Supervisor encargado de mensajería 
Supervisor de transporte, Supervisor encargado de transporte 
Supervisor de atención al cliente, Supervisor encargado de atención al cliente
Supervisor de codificadores, Supervisor a cargo de codificadores 
Supervisor de encuestadores, Supervisor a cargo de encuestadores 
Supervisor de telefonistas, Supervisor a cargo de telefonistas 
Supervisor de ventas, Supervisor encargado de ventas 
Supervisor de tienda, encargado de tiendas
Supervisor de promotores, Supervisor a cargo de promotores 
Supervisor de cocina, Supervisor encargado de cocina 
Supervisor de parques, Supervisor encargado de parques
Supervisor de seguridad, Supervisor encargado de seguridad 
Supervisor de vigilancia, Supervisor encargado de vigilancia 
Supervisor de pesca, Supervisor encargado de pesca 
Supervisor de enfermeras, Supervisor a cargo de enfermeras, Supervisor a cargo de personal de enfermería
Supervisor de crédito, Supervisor evaluador de crédito 
Supervisor de aduana, Supervisor encargado de aduana 
Supervisor de operadores en planta industrial, Supervisor a cargo de operadores en planta industrial
Supervisor de operadores de línea de producción, Supervisor a cargo de operadores de línea de producción
Supervisor de operadores de empacado, Supervisor a cargo de operadores de empacado 
Supervisor de operadores de planta de extracción de minerales, Supervisor a cargo de operadores de planta de extracción de minerales 
Supervisor de ensamble de productos metálicos, Supervisor encargado de ensamble de productos metálicos 
Supervisor de ensamble de productos electrónicos, Supervisor encargado de ensamble de productos electrónicos, Supervisor de ensamble de productos eléctricos, Supervisor encargado de ensamble de productos eléctricos 
Supervisor de ensamble de partes automotrices, Supervisor encargado de ensamble de partes automotrices 
Supervisor de calidad de productos eléctricos, Supervisor encargado de calidad de productos eléctricos, Supervisor de calidad de productos electrónicos, Supervisor encargado de calidad de productos electrónicos
Supervisor de medios de transporte, Supervisor encargado de medios de transporte 
Supervisor de fletes, Supervisor encargado de fletes 
Supervisor de intendencia, Supervisor encargado de intendencia 
Supervisor de personal de limpieza, Supervisor encargado de personal de limpieza 
Supervisor de lavandería, Supervisor encargado de lavandería 
Supervisor de autolavado, Supervisor encargado de autolavado 
Supervisor de estacionamiento, Supervisor encargado de estacionamiento 
Supervisor de obra civil, Supervisor encargado de obra civil 
Supervisor de obra de construcción, Supervisor encargado de obra de construcción 
Supervisor de obras públicas, Supervisor encargado de obras públicas 
Supervisor de taller de hojalatería, Supervisor encargado de taller de hojalatería 
Supervisor de taller de pailería, Supervisor encargado de taller de pailería 
Supervisor de costureras, Supervisor a cargo de costureras 
Supervisor de tapicería, Supervisor en el área de tapicería 
Supervisor de ladrillera, Supervisor de empresa ladrillera

Promotor de grupos musicales, Promotor de conjuntos musicales, Promotor musical 
Promotor cultural, Promotor de la cultura
Promotor deportivo, Promotor del deporte
Promotor turístico, Promotor del turismo
Promotor de ventas, Promotor comercial

Representante artístico, Representante de arte
Representante de ventas, Representante comercial
Representante médico, Representante de salud

Asesor administrativo, Asesor en administración 
Asesor empresarial, Asesor en el ámbito empresarial 
Asesor en administración de empresas, Asesor especializado en administración de empresas
Asesor en recursos humanos, Asesor especializado en recursos humanos 
Asesor gerencial, Asesor de gerencia 
Asesor de medios de comunicación, Asesor de medios comunicativos
Asesor de ventas, Asesor comercial 
Asesor en comercio exterior, Asesor especializado en comercio exterior 
Asesor en distribución, Asesor especializado en distribución 
Asesor en trámites aduanales, Asesor especializado en trámites aduanales 
Asesor de exportación, Asesor especializado en exportación
Asesor turístico, Asesor de turismo 
Asesor de casa de bolsa, Asesor de mercado cambiario 
Asesor en desarrollo social, Asesor especializado en desarrollo social 
Asesor político, Asesor de política 
Asesor psicológico, Asesor de psicología, Consejero psicológico, Psicólogo

Consultor administrativo, Consultor en administración 
Consultor empresarial, Consultor de empresas 
Consultor análisis organizacional, Consultor especializado en análisis organizacional 
Consultor de mercadotecnia, Consultor mercadotécnico 
Consultor en turismo sustentable, Consultor especializado en turismo sustentable 
Consultor de información económica, Consultor especializado en información económica

Auditor sistema gestión de calidad, Auditor especializado en sistemas de gestión de calidad 
Auditor contable, Auditor especializado en contabilidad 
Auditor fiscal, Auditor en el ámbito fiscal 
Auditor interno, Auditor de procesos internos

Diseñador de proyectos administrativos, Diseñador en proyectos de administración 
Diseñador de accesorios industria del vestido, Diseñador de accesorios para la industria del vestido 
Diseñador de alhajas, Diseñador de joyas 
Diseñador de calzado, Diseñador de zapatos 
Diseñador de chamarras, Diseñador de chaquetas 
Diseñador de modas, Diseñador en la industria de la moda 
Diseñador industria del vestido, Diseñador especializado en la industria del vestido 
Diseñador automotriz, Diseñador en la industria automotriz, Diseñador de autos 
Diseñador de circuitos integrados, Diseñador especializado en circuitos integrados 
Diseñador de cocinas integrales, Diseñador especializado en cocinas integrales
Diseñador de equipo industrial, Diseñador especializado en equipo industrial
Diseñador de equipos de seguridad, Diseñador especializado en equipos de seguridad
Diseñador de estructuras metálicas, Diseñador especializado en estructuras metálicas 
Diseñador de piezas automotrices, Diseñador especializado en piezas automotrices
Diseñador de vitrales, Diseñador especializado en vitrales
Diseñador industrial, Diseñador especializado en la industria 
Diseñador publicitario, Diseñador especializado en publicidad
Diseñador de interiores, Diseñador especializado en interiores

Investigador de mercado, Investigador mercadotécnico 
Investigador en finanzas, Investigador financiero 
Investigador de economía, Investigador económico 
Investigador de historia, Investigador especializado en historia 
Investigador de estudios socioeconómicos, Investigador especializado en estudios socioeconómicos 
Investigador en demografía, Investigador especializado en demografía 
Investigador de sociología, Investigador especializado en sociología 
Investigador social, Investigador en el ámbito social 
Investigador lingüista, Investigador especializado en lingüística 
Investigador en filosofía, Investigador especializado en filosofía 
Investigador en lenguas indígenas, Investigador especializado en lenguas indígenas 
Investigador de neuropsicología, Investigador especializado en neuropsicología 
Investigador de mercadotecnia, Investigador especializado en mercadotecnia 
Investigador de crédito, Investigador con especialidad en crédito 
Investigador de danza folklórica, Investigador especializado en danza folklórica

Licenciado en mercadotecnia, Licenciado especializado en mercadotecnia
Licenciado en comercio exterior, Licenciado especializado en comercio exterior
Licenciado en turismo, Licenciado especializado en turismo 
Licenciado economía agrícola, Licenciado especializado en economía agrícola
Licenciado desarrollo, Licenciado especializado en desarrollo
Licenciado gestión cultural, Licenciado especializado en cultural 
Licenciado relaciones multiculturales, Licenciado especializado en relaciones multiculturales 
Licenciado demografía, Licenciado especializado en demografía 
Licenciado estudios latinoamericanos, Licenciado especializado en estudios latinoamericanos
Licenciado estudios socioterritoriales, Licenciado especializado en estudios socioterritoriales
Licenciado planificación desarrollo agropecuario, Licenciado especializado en planificación desarrollo agropecuario
Licenciado en estudios políticos, Licenciado especializado en estudios políticos
Licenciado en humanidades, Licenciado especializado en humanidades, Humanista
Licenciado lengua, Licenciado especializado en lengua
Licenciado letras clásicas, Licenciado especializado en letras clásicas
Licenciado lingüística, Licenciado especializado en lingüística, Lingüista
Licenciado literatura dramática, Licenciado especializado en literatura dramática,Licenciado literatura en teatro
Licenciado psicopedagogía, Licenciado especializado en psicopedagogía, Psicopedagogo
Licenciado educación primaria, Licenciado en educación básica

Concertista en arpa, Concertista especializado en arpa 
Concertista en canto, Concertista especializado en canto
Concertista en clarinete, Concertista especializado en clarinete 
Concertista en clavecín, Concertista especializado en clavecín  
Concertista en contrabajo, Concertista especializado en contrabajo 
Concertista en corno, Concertista especializado en corno 
Concertista en fagot, Concertista especializado en fagot 
Concertista en flauta, Concertista especializado en flauta
Concertista en guitarra, Concertista especializado en guitarra
Concertista en oboe, Concertista especializado en oboe
Concertista en órgano, Concertista especializado en órgano
Concertista en percusiones, Concertista especializado en percusiones
Concertista en piano, Concertista especializado en piano
Concertista en saxofón, Concertista especializado en saxofón
Concertista en trombón, Concertista especializado en trombón
Concertista en trompeta, Concertista especializado en trompeta
Concertista en tuba, Concertista especializado en tuba
Concertista en viola, Concertista especializado en viola
Concertista en violín, Concertista especializado en violín
Concertista en violoncelo, Concertista especializado en violoncelo

Analista de alimentos, Analista en la industria alimenticia 
Analista de métodos, Analista de metodología
Analista adquisiciones, Analista especializado en adquisiciones 
Analista de crédito, Analista especializado en crédito 
Analista procedimientos, Analista especializado en procedimientos
Analista seguridad social, Analista especializado en seguridad social 
Analista de mercado, Analista especializado en mercado
Analista aduanal, Analista especializado en aduana
Analista bursátil, Analista especializado en mercado bursátil
Analista contable, Analista especializado en contabilidad
Analista de impuestos, Analista especializado en impuestos 
Analista de seguros, Analista especializado en seguros 
Analista financiero, Analista en finanzas 
Analista de información demográfica, Analista especializado en información demográfica 
Analista en polímeros, Analista especializado en polímeros
Analista químico, Analista especializado en química 
Analista bioquímico, Analista especializado en bioquímica 

Especialista presupuestos, Especialista enfocado en presupuestos 
Especialista en desarrollo social, Especialista enfocado en desarrollo social 
Especialista en métodos enseñanza, Especialista en metodología educativa
Especialista servicios aéreos, Especialista enfocado en servicios aéreos

Proyectista financiero, Proyectista en finanzas 
Proyectista de sentencias, Proyectista especializado en sentencias 
Proyectista expedientes, Proyectista especializado en expedientes 
Proyectista legal, Proyectista en el ámbito legal
Proyectista juzgado, Proyectista en juzgado 
Proyectista legal mercantil, Proyectista legal en el ámbito mercantil 
Proyectista penal, Proyectista en el ámbito penal

Perito de antropología forense, Perito especializado en antropología forense
Perito criminalista, Perito con especialidad en criminalística
Perito de tránsito, Perito especializado en tránsito
Perito de aduana de mercancía, Perito de aduana, Perito aduanal de mercancía

Abogado litigante, Abogado especializado en litigio, Abogado

Ejecutivo jurídico, Ejecutivo con especialidad en área jurídica 
Ejecutivo de atención a clientes, Ejecutivo especializado en atención a clientes 
Ejecutivo telefónico, Ejecutivo vía telefónica 
Ejecutivo de ventas, ejecutivo comercial

Consejero matrimonial, Consejero para el matrimonio, Consejero de parejas 
Consejero de empleo, Consejero laboral

Reportero de periódico, Reportero de publicación periódica, Reportero

Pintor al óleo, Pintor especializado en óleo
Pintor muralista, Pintor de murales 

Restaurador de pinturas, Restaurador especializado en pinturas 
Restaurador de obras de arte, Restaurador especializado en obras de arte 
Restaurador de esculturas, Restaurador especializado en esculturas 
Restaurador de muebles de madera, Restaurador especializado en muebles de madera

Dibujante caricaturista, Dibujante especializado en caricaturas, Dibujante de caricaturas, Caricaturista 
Dibujante artístico, Dibujante especializado en arte 
Dibujante de planos, Dibujante especializado en planos 
Dibujante de planos arquitectónicos, Dibujante especializado en planos arquitectónicos 
Dibujante industrial, Dibujante en la industria 
Dibujante mecánico, Dibujante especializado en mecánica
Dibujante publicitario, Dibujante especializado en publicidad

Grabador artístico, Grabador especializado en arte 
Grabador piedra, Grabador especializado en piedra
Grabador de cristal, Grabador especializado en cristal

Escultor artístico, Escultor especializado en arte 
Escultor de barro, Escultor especializado en barro 
Escultor de madera, Escultor especializado en madera
Escultor de piedra, Escultor especializado en piedra

Ingeniero civil administrador, Ingeniero civil en administración 
Ingeniero civil ambiental, Ingeniero civil del medio ambiente
Ingeniero ambiental, Ingeniero especializado en el ambiente
Ingeniero civil de caminos, Ingeniero civil especializado en caminos 
Ingeniero civil en construcción urbana, Ingeniero civil especializado en construcción urbana 
Ingeniero civil en estructuras, Ingeniero civil especializado en estructuras 
Ingeniero civil en desarrollo de la comunidad, Ingeniero civil especializado en desarrollo de la comunidad 
Ingeniero civil en geotecnia, Ingeniero civil especializado en geotecnia 
Ingeniero civil en hidráulica, Ingeniero civil especializado en hidráulica
Ingeniero civil en mecánica de suelos, Ingeniero civil especializado en mecánica de suelos 
Ingeniero civil en obras hidráulicas, Ingeniero civil especializado en obras hidráulicas
Ingeniero civil en obras marítimas, Ingeniero civil especializado en obras marítimas
Ingeniero civil en obras portuarias, Ingeniero civil especializado en obras portuarias
Ingeniero civil en obras públicas, Ingeniero civil especializado en obras públicas 
Ingeniero civil en obras urbanas, Ingeniero civil especializado en obras urbanas 
Ingeniero civil en prefabricación de edificios, Ingeniero civil especializado en prefabricación de edificios 
Ingeniero civil en sistemas de planeación, Ingeniero civil especializado en sistemas de planeación 
Ingeniero civil en vías de comunicación, Ingeniero civil especializado en vías de comunicación 
Ingeniero civil en vías terrestres, Ingeniero civil especializado en vías terrestres 
Ingeniero civil hidroagrícola, Ingeniero civil especializado en hidroagricultura 
Ingeniero civil para la dirección, Ingeniero civil especializado en dirección 
Ingeniero constructor, Ingeniero civil especializado en construcción 
Ingeniero en obras, Ingeniero civil especializado en obras
Ingeniero de minas, Ingeniero civil especializado en minas 
Ingeniero metalúrgico,Ingeniero Siderúrgico,Siderúrgico,metalúrgico
Ingeniero petrolero, Ingeniero en la industria petrolera 
Ingeniero minero, Ingeniero en la industria minera 
Ingeniero en irrigación, Ingeniero especializado en irrigación 
Ingeniero textil en acabados, Ingeniero textil especializado en acabados 
Ingeniero textil en confección, Ingeniero textil especializado en confección 
Ingeniero textil en hilados, Ingeniero textil especializado en hilados 
Ingeniero textil en tejidos, Ingeniero textil especializado en tejidos 
Ingeniero textil en tejidos de punto, Ingeniero textil especializado en tejidos de punto 

Ayudante de laboratorio de física, Ayudante de laboratorio con especialidad en física
Ayudante de investigador biológico, Ayudante de investigador en biología
Ayudante de laboratorista industrial, Ayudante de laboratorista en la industria
Ayudante de geólogo, Ayudante de especialista geólogo 
Ayudante de técnico en refrigeración, Ayudante de técnico especializado en refrigeración 
Ayudante de reparador refrigeradores, Ayudante de reparador de refrigeradores 
Ayudante de tienda de abarrotes, Ayudante de establecimiento de abarrotes 
Ayudante de refaccionaria, Ayudante de distribuidor de refacciones 
Ayudante de chofer vendedor, Ayudante de chofer comercial
Ayudante cyber renta de computadoras, Ayudante establecimiento de renta de computadoras, Ayudante de cibercafé 
Ayudante de computación, Ayudante de servicios de cómputo 
Ayudante de reparador de computadoras, Ayudante de reparador de equipos de cómputo 
Ayudante equipo de sonido, Ayudante de equipo de sonido 
Ayudante estudio fotográfico, Ayudante de estudio de fotografía 
Ayudante agrícola, Ayudante en la industria agrícola 
Ayudante floricultor, Ayudante de floricultura 
Ayudante fruticultor, Ayudante de fruticultura
Ayudante de riego agrícola, Ayudante de riego en la industria agrícola 
Ayudante de cría de animales, Ayudante de cría animal 
Ayudante de avicultor, Ayudante de avicultura, Ayudante de criador de aves 
Ayudante de criador de cerdos, Ayudante de criador porcino 
Ayudante de inseminador, Ayudante de inseminador animal 
Ayudante de ordeñador, Ayudante de ordeñador de animales 
Ayudante de invernadero, Ayudante en invernadero 
Ayudante de forestador, Ayudante encargado de forestación

Ensayador químico, Ensayador con especialidad en química

Inspector ambiental, Inspector del medio ambiente 
Inspector de ganado, Inspector ganadero 
Inspector de control de calidad, Inspector de calidad 
Inspector en materia de protección civil, Inspector de protección civil
Inspector sanitario, Inspector encargado de sanidad 
Inspector de aseo público, Inspector de higiene pública 
Inspector de control de bebidas alcohólicas en comercios, Inspector de control alcohólico en comercios 
Inspector escolar, Inspector de escuela
Inspector de seguridad en el trabajo, Inspector de seguridad laboral 

Promotor agrario, Promotor en la industria agraria 
Promotor comunitario, Promotor en comunidad 
Promotor de atención social, Promotor encargado de atención social 
Promotor de programas sociales, Promotor encargado de programas sociales
Promotor deportivo, Promotor de actividad física 
Promotor cultural, Promotor de cultura
Promotor de salud, Promotor encargado de salud
Promotor social, Promotor en el ámbito social

Laboratorista de rastro, Laboratorista encargado de rastro 
Laboratorista de suelos, Laboratorista encargado de suelos
Laboratorista agrobiólogo, Laboratorista con especialidad en agrobiología
Laboratorista biomédico, Laboratorista con especialidad en biomédica 
Laboratorista químico, Laboratorista con especialidad en química 

Recolector de residuos tóxicos, Recolector encargado de residuos tóxicos 
Recolector de lechuguillas, Recolector encargado de lechuguillas 
Recolector de huevo, Recolector encargado de huevo
Recolector de almeja, Recolector encargado de almeja 
Recolector de leña, Recolector encargado de leña
Recolector de basura, Recolector encargado de basura, Basurero
Recolector de materiales, Recolector encargado de materiales
Recolector de tierra, Recolector encargado de tierra

Empleado en control de calidad, Empleado especializado en control de calidad 
Empleado de mantenimiento de maquinaria industrial, Empleado especializado en mantenimiento de maquinaria industrial 
Empleado de mantenimiento de congeladora, Empleado especializado en mantenimiento de congeladora 
Empleado de mantenimiento de equipo de aire acondicionado, Empleado especializado en mantenimiento de equipo de aire acondicionado
Empleado de mantenimiento de equipo de refrigeración, Empleado especializado en mantenimiento de equipo de refrigeración 
Empleado de mantenimiento eléctrico, Empleado especializado en mantenimiento eléctrico 
Empleado cyber renta de computadoras, Empleado de cyber renta de computadoras, Empleado de cibercafé, Empleado de cyber
Empleado administrativo, Empleado en administración
Empleado de intendencia, Empleado intendente, Empleado de limpieza
Empleado de paquetería, Empleado de servicios de paquetería

Mecánico reparación automotriz, Mecánico especializado en reparación automotriz, Mecánico de reparación de autos 
Mecánico de maquinaria pesada, Mecánico especializado en maquinaria pesada 
Mecánico de motocicletas, Mecánico especializado en motocicletas 
Mecánico de motores de lanchas, Mecánico especializado en motores de lancha 
Mecánico ajustador maquinaria, Mecánico ajustador de maquinaria 
Mecánico de imprentas, Mecánico especializado en imprentas 
Mecánico de maquinaria industrial, Mecánico especializado en maquinaria industrial
Mecánico de máquinas de coser, Mecánico especializado en máquinas de coser
Mecánico de molino, Mecánico especializado en molinos
Mecánico textil, Mecánico en la industria textil
Mecánico de aire acondicionado, Mecánico especializado en aire acondicionado 
Mecánico en refrigeración, Mecánico especializado en refrigeración 
Mecánico de bombas, Mecánico especializado en bombas

Reparador de motocicletas, Reparador especializado en motocicletas 
Reparador de muelles, Reparador especializado en muelles, Muellero
Reparador de radiadores, Reparador especializado en radiadores
Reparador de bicicletas, Reparador especializado en bicicletas
Reparador de calderas, Reparador especializado en calderas
Reparador de aparatos médicos, Reparador especializado en aparatos médicos
Reparador de guitarras, Reparador especializado en guitarras
Reparador de máquinas de escribir, Reparador especializado en máquinas de escribir
Reparador de relojes, Reparador especializado en relojes
Reparador de válvulas de cilindros de gas, Reparador especializado en válvulas de cilindros de gas
Reparador de velocímetros, Reparador especializado en velocímetros
Reparador de refrigeradores, Reparador especializado en refrigeradores
Reparador de aire acondicionado, Reparador especializado en aire acondicionado
Reparador de climas, Reparador especializado en climas
Reparador de aparatos eléctricos, Reparador especializado en aparatos eléctricos, Reparador de electrónicos
Reparador de aparatos electrodomésticos, Reparador especializado en aparatos electrodomésticos
Reparador de celulares, Reparador especializado en celulares
Reparador de líneas telefónicas, Reparador especializado en líneas telefónicas
Reparador de máquinas de videojuegos, Reparador especializado en máquinas de videojuegos, Reparador de consolas de juegos
Reparador de radios, Reparador especializado en radios
Reparador de teléfonos celulares, Reparador especializado en teléfonos celulares
Reparador de televisores, Reparador especializado en televisores
Reparador de equipo de cómputo, Reparador especializado en equipos de cómputo

Instalador de aire acondicionado, Instalador de equipos de aire acondicionado 
Instalador de climas, Instalador de equipos de climas 
Instalador de extractores de aire, Instalador de equipos de extracción de aire
Instalador de alarmas, Instalador de equipos de alarma
Instalador de antenas, Instalador de equipos de antena 
Instalador de cable, Instalador de equipos de cable
Instalador de cableado telefónico, Instalador de cableado de teléfono 
Instalador de teléfonos, Instalador de equipos de teléfono 
Instalador de anuncios publicitarios, Instalador de anuncios de publicidad 
Instalador de sistemas de riego, Instalador de sistemas de irrigación 

Electricista naval, Electricista en la industria naval, Electricista de embarcaciones
Electricista doméstico, Electricista del hogar 
Electricista industrial, Electricista en la industria
Electricista automotriz, Electricista en la industria automotriz, Electricista de autos

Embobinador eléctrico, Embobinador con especialidad en electricidad 
Embobinador de motores, Embobinador con especialidad en motores

Liniero de redes eléctricas, Liniero de redes de electricidad 

Paramédico de rescate, Paramédico rescatista 
Paramédico militar, Paramédico en ejército

Cajero de banco, Cajero de institución bancaria
Cajero de tienda comercial, Cajero de establecimiento comercial

Cobrador de transporte pasajeros, Cobrador de transporte de pasajeros

Guía de museo, Guía en museo
Guía de parque, Guía en parque
Guía de turistas, Guía turístico 

Etiquetador de mercancía, Etiquetador de productos

Vendedor por teléfono, Vendedor vía telefónica 
Vendedor de piso, Vendedor encargado de piso 
Vendedor de servicios funerarios, Vendedor encargado de servicios funerarios 
Vendedor de lotes de panteón, Vendedor encargado de lotes de panteón
Vendedor por catálogo, Vendedor por medio de catálogo 
Vendedor ambulante de lotería, Vendedor ambulante de billetes de lotería
Vendedor ambulante de alimentos, Vendedor ambulante de productos alimenticios 
Vendedor ambulante de frutas, Vendedor de frutas ambulante
Vendedor ambulante de dulces, Vendedor de dulces ambulante
Vendedor ambulante de fruta picada, Vendedor de fruta picada ambulante
Vendedor de saldo en casino, Runner

Modelo de arte, Modelo artístico 
Modelo de modas, Modelo en la industria de la moda, Modelaje
Modelo de publicidad, Modelo publicitario

Entrenador de caballos, Entrenador equino 
Entrenador de perros, Entrenador canino

Estilista de canes, Estilista canino, Estilista de perros

Bombero forestal, Bombero especializado en bosques

Custodio de valores, Protector de valores

Trabajador en el cultivo del cacao, Trabajador especializado en el cultivo del cacao 
Trabajador en el cultivo del tabaco, Trabajador especializado en el cultivo del tabaco 
Trabajador de cultivos frutales, Trabajador especializado en cultivos frutales

Peón agrícola, Peón en la industria agrícola, Peón agricultor

Buzo sacador de ostras, Buzo extractor de ostras 
Buzo industrial, Buzo en la industria

Electromecánico automotriz, Electromecánico en la industria automotriz 
Electromecánico industrial, Electromecánico en la industria 
Electromecánico instrumentos medición, Electromecánico especializado en instrumentos de medición

Editor de videofilmaciones, Editor especializado en videofilmaciones

Filmador de eventos sociales, Filmador de eventos de sociedad 

Aislador de sonido, Aislador sonoro, Aislador acústico
Aislador de instalaciones de refrigeración, Aislador de instalaciones refrigeradas 

Mezclador de música, Mezclador musical, DJ

Aplicador de exámenes para adultos, Aplicador de exámenes para población adulta

Maestro de canto, Maestro especializado en la instrucción de canto, Profesor de canto 
Maestro de danza, Maestro especializado en la instrucción de danza, Instructor de danza
Maestro de guitarra, Maestro especializado en la instrucción de guitarra, Instructor de guitarra 
Maestro de piano, Maestro especializado en la instrucción de piano, Profesor de piano
Maestro de pintura, Maestro especializado en la instrucción de pintura, Profesor de pintura
Maestro de arte dramático, Maestro especializado en la instrucción de arte dramático, Profesor de arte dramático
Maestro de escultura, Maestro especializado en la instrucción de escultura, Profesor de escultura
Maestro de teatro, Maestro especializado en la instrucción de teatro, Licenciado literatura dramática y teatro, Profesor de teatro
Maestro de vals, Maestro especializado en la instrucción de vals, Instructor de vals
Maestro de computación, Maestro especializado en la instrucción de computación, Profesor de computación
Maestro de belleza, Maestro especializado en la instrucción de belleza
Maestro de cocina, Maestro especializado en la instrucción de cocina
Maestro de estilismo, Maestro especializado en la instrucción de estilismo
Maestro de manualidades, Maestro especializado en la instrucción de manualidades, Instructor de manualidades
Maestro de carpintería, Maestro especializado en la instrucción de carpintería, Instructor de carpintería
Maestro de mecánica automotriz, Maestro especializado en la instrucción de mecánica automotriz, Profesor de mecánica automotriz
Maestro de educación física, Maestro especializado en la instrucción de educación física, Profesor de educación física
Maestro de educación especial en área de lenguaje, Maestro de audición y lenguaje

Capacitador electoral, Capacitador para proceso electoral 
Capacitador empresarial, Capacitador en empresas 
Capacitador en ventas, Capacitador comercial

Corredor de bolsa de valores, Corredor bursátil

Valuador inmuebles, Valuador inmobiliario, Valuador de joyas

Capitán de aduana, Capitán encargado de aduana
Capitán de barco de pasajeros, Capitán encargado de barco de pasajeros 
Capitán de barco de carga, Capitán encargado de barco de carga 
Capitán de barco patrulla, Capitán encargado de barco patrulla

Dictaminador aduanal, Dictaminador de aduana

Verificador aduanal, Verificador de aduana 
Verificador de documentos en frontera, verificador de documentación en frontera 
Verificador de permisos en establecimientos, Verificador de permisos en locales 
Verificador fiscal, Verificador en el ámbito fiscal
Verificador de autos, Verificador automotriz

Recaudador de impuestos, Recaudador tributario

Gestor social, Gestor en el ámbito social

Decorador de interiores, Decorador especializado en interiores
Decorador de aparadores comerciales, Decorador especializado en aparadores comerciales 
Decorador de arreglos florales, Decorador especializado en arreglos florales
Decorador de pasteles, Decorador especializado en pasteles

Artesano en fabricación de artículos de marfil, Artesano especializado en fabricación de artículos de marfil 
Artesano en productos del mar, Artesano especializado en productos del mar 
Artesano de guitarras, Artesano especializado en guitarras
Artesano de madera, Artesano especializado en madera 
Artesano de mimbre, Artesano especializado en mimbre
Artesano palma, Artesano especializado en palma
Artesano de carrizo, Artesano especializado en carrizo
Artesano de cartonería, Artesano especializado en cartón
Artesano de flores de papel, Artesano especializado en flores de papel
Artesano de muñecos de papel mache, Artesano especializado en muñecos de papel mache

Maquinista de mina, Maquinista en mina

Perforador de pozos petroleros, Perforador de pozos de petróleo 
Perforador de pozos de agua, Perforador de mantos acuíferos

